,Habitat,mean_anopheles,sd_anopheles,mean_culex,sd_culex,mean_aedes,sd_aedes
1,Used Tyres,0.846153846,2.154303981,12.23076923,15.37939014,11.53846154,15.32761878
2,Tyre track,6.8,6.496152708,0,0,0,0
3,Puddles,5,9.513148795,5,7.071067812,32,68.79316827
4,Gutters,7,10.39230485,4,6.92820323,0.666666667,0.577350269
5,Containers,0,0,0.666666667,1.632993162,6.5,11.55422001
